Reference Set:

15.0 0.0 
12.5 1.0 
10.25 2.0 
6.25 4.0 
4.25 5.0 
2.25 6.0 
8.166666666666666 3.0 
-1.7999999999999998 10.0 
-1.5000000000000009 9.0 
-2.625 11.0 
0.75 7.0 
-3.0 12.0 
-0.3333333333333339 8.0 
-4.0 17.0 
-3.5 15.0 

QLearning
12.5, 1.0
10.25, 2.0
8.25, 3.0
-0.0, 32.0
6.25, 4.0
4.833333333333332, 5.0
1.75, 9.0
2.9999999999999996, 6.0
2.0, 7.0
1.9999999999999987, 8.0
0.9166666666666661, 14.0
0.8333333333333335, 15.0
1.6666666666666652, 12.0

NSGAII-2
9.0, 3.0
6.0, 5.0
3.0, 6.0
7.0, 4.0
1.0, 8.0
2.5, 7.0
-0.0, 9.0
-2.7, 17.0
-2.4999999999999996, 12.0
-1.0, 10.0
-2.0, 11.0

QLearningExplore
12.5, 1.0
10.25, 2.0
6.25, 4.0
4.25, 5.0
2.25, 6.0
8.166666666666666, 3.0
-1.7999999999999998, 10.0
-1.5000000000000009, 9.0
-2.625, 11.0
0.75, 7.0
-3.0, 12.0
-0.3333333333333339, 8.0
-4.0, 17.0
-3.5, 15.0
