Reference Set:

50.0 0.0 
45.0 1.0 
40.666666666666664 2.0 
37.49999999999999 3.0 
10.790555555555553 18.0 
9.573888888888888 19.0 
8.440555555555555 20.0 
6.286111111111112 24.0 
7.63611111111111 21.0 
6.969444444444445 22.0 
6.536111111111111 23.0 
12.160714285714285 17.0 
13.833333333333336 15.0 
13.333333333333336 16.0 
23.600000000000005 8.0 
31.166666666666668 5.0 
25.999999999999996 7.0 
5.964285714285715 32.0 
5.055555555555555 37.0 
4.638888888888889 38.0 
3.3571428571428577 39.0 
2.9557823129251704 41.0 
2.8843537414965983 45.0 
1.5272108843537415 46.0 
28.133333333333333 6.0 
22.133333333333333 9.0 
19.049999999999997 10.0 
17.549999999999997 11.0 
1.026851851851852 53.0 
15.75 13.0 
15.083333333333334 14.0 
5.466666666666672 35.0 
34.33333333333333 4.0 
16.916666666666668 12.0 
5.5 34.0 
5.3277777777777775 36.0 
0.9613095238095237 62.0 
-0.047023809523809135 63.0 

QLearning
45.0, 1.0
35.0, 4.0
30.5, 6.0
25.999999999999996, 9.0
24.999999999999993, 10.0
22.72222222222222, 14.0
28.166666666666668, 8.0
28.5, 7.0
40.666666666666664, 2.0
32.666666666666664, 5.0
37.49999999999999, 3.0
23.833333333333332, 12.0
21.75, 17.0
19.699999999999996, 19.0
19.25, 24.0
18.25, 25.0

NSGAII-2
10.790555555555553, 18.0
9.573888888888888, 19.0
8.440555555555555, 20.0
6.286111111111112, 24.0
7.63611111111111, 21.0
6.969444444444445, 22.0
6.536111111111111, 23.0
19.63333333333333, 13.0
16.633333333333333, 14.0
15.83333333333333, 15.0
13.44642857142857, 16.0
12.160714285714285, 17.0

QLearningExplore
45.0, 1.0
13.833333333333336, 15.0
13.333333333333336, 16.0
23.600000000000005, 8.0
37.66666666666667, 3.0
31.166666666666668, 5.0
25.999999999999996, 7.0
9.833333333333332, 20.0
5.964285714285715, 32.0
8.633333333333331, 23.0
8.25, 25.0
11.5, 18.0
10.5, 19.0
6.402777777777779, 31.0
5.055555555555555, 37.0
4.638888888888889, 38.0
3.3571428571428577, 39.0
2.9557823129251704, 41.0
2.8843537414965983, 45.0
1.5272108843537415, 46.0
28.133333333333333, 6.0
22.133333333333333, 9.0
19.049999999999997, 10.0
17.549999999999997, 11.0
1.026851851851852, 53.0
15.75, 13.0
15.083333333333334, 14.0
5.466666666666672, 35.0
40.666666666666664, 2.0
34.33333333333333, 4.0
12.5, 17.0
9.149999999999999, 22.0
6.55, 27.0
16.916666666666668, 12.0
7.883333333333331, 26.0
5.5, 34.0
5.3277777777777775, 36.0
0.9613095238095237, 62.0
-0.047023809523809135, 63.0
