Reference Set:

1.0 0.09904761904761904 
2.0 -0.8676190476190476 
3.0 -1.8726190476190476 
4.0 -2.8892857142857142 
8.0 -5.911904761904762 
5.0 -2.9339285714285714 
6.0 -3.9339285714285714 
7.0 -4.9089285714285715 
21.0 -8.925 
22.0 -9.925 
23.0 -10.925 
24.0 -11.9 
27.0 -11.966666666666667 
19.0 -8.866666666666667 
18.0 -7.875 
9.0 -5.936904761904762 
10.0 -5.961904761904762 
35.0 -11.975 
38.0 -14.95 
20.0 -8.904761904761905 
26.0 -11.958333333333334 
36.0 -12.975 
37.0 -13.966666666666667 
39.0 -15.0 
40.0 -16.0 
41.0 -17.0 
42.0 -18.0 
43.0 -19.0 
44.0 -20.0 
15.0 -6.903333333333333 
16.0 -6.9366666666666665 
17.0 -6.940476190476191 

QLearning
0.0, 0.12833333333333333
1.0, 0.09904761904761904
2.0, -0.8676190476190476
3.0, -1.8726190476190476
4.0, -2.8892857142857142
8.0, -5.911904761904762
5.0, -2.9339285714285714
6.0, -3.9339285714285714
7.0, -4.9089285714285715
21.0, -8.925
22.0, -9.925
23.0, -10.925
24.0, -11.9
27.0, -11.966666666666667
19.0, -8.866666666666667
18.0, -7.875
9.0, -5.936904761904762
10.0, -5.961904761904762
35.0, -11.975
38.0, -14.95
20.0, -8.904761904761905
26.0, -11.958333333333334
36.0, -12.975
37.0, -13.966666666666667
39.0, -15.0
40.0, -16.0
41.0, -17.0
42.0, -18.0
43.0, -19.0
44.0, -20.0
15.0, -6.903333333333333
16.0, -6.9366666666666665
17.0, -6.940476190476191

NSGAII-2
42.0, -15.983333333333333
38.0, -13.95
33.0, -10.933333333333334
34.0, -11.915
48.0, -20.0
44.0, -16.0
30.0, -5.89
45.0, -17.0
31.0, -6.915

QLearningExplore
0.0, 0.12833333333333333
1.0, 0.09904761904761904
2.0, -0.8676190476190476
3.0, -1.8726190476190476
4.0, -2.8892857142857142
10.0, -5.94
11.0, -5.943333333333333
9.0, -5.935
5.0, -2.9339285714285714
6.0, -3.9339285714285714
7.0, -4.9089285714285715
13.0, -5.961904761904762
8.0, -5.911904761904762
12.0, -5.951785714285714
