QLearningExplore,QLearning,NSGAII-2
0.425,0.425,0.4
0.425,0.375,0.4
0.425,0.425,0.425
0.425,0.4,0.425
0.425,0.425,0.39999999999999997
0.4,0.4,0.4
0.425,0.425,0.4
0.425,0.425,0.4
0.425,0.425,0.4
0.425,0.32499999999999996,0.425
0.425,0.4,0.4
0.425,0.425,0.4
0.425,0.425,0.425
0.425,0.4,0.425
0.425,0.425,0.425
0.425,0.4,0.425
0.425,0.425,0.4
0.425,0.4,0.375
0.425,0.4,0.4
0.425,0.425,0.4
0.425,0.425,0.425
0.425,0.425,0.4
0.425,0.4,0.425
0.425,0.425,0.375
0.425,0.425,0.375
0.425,0.425,0.425
0.425,0.425,0.4
0.425,0.4,0.425
0.425,0.425,0.4
0.425,0.425,0.425
